Item,Location,Series ID
Deposit and loan facilities (direct charges),Australia,A3604448V
Other financial services,Australia,A2332776R
All groups CPI,Australia,A2325846C
Tradables,Australia,A2330526L
Non-tradables,Australia,A2330571X
"All groups, goods component",Australia,A2330616T
"All groups, services component",Australia,A2330706W
All groups CPI including deposit and loan facilities (indirect charges),Australia,A3604398J
All groups CPI excluding Food and non-alcoholic beverages,Australia,A2332101T
All groups CPI excluding Alcohol and tobacco,Australia,A2332146W
All groups CPI excluding Clothing and footwear,Australia,A2332191J
All groups CPI excluding Housing,Australia,A2332236A
"All groups CPI excluding Furnishings, household equipment and services",Australia,A2332281L
All groups CPI excluding Health,Australia,A2332326F
All groups CPI excluding Transport,Australia,A2332371T
All groups CPI excluding Communication,Australia,A2332416K
All groups CPI excluding Recreation and culture,Australia,A2332461W
All groups CPI excluding Education,Australia,A2332506R
All groups CPI excluding Insurance and financial services,Australia,A2332641F
All groups CPI excluding Housing and Insurance and financial services,Australia,A2332686K
All groups CPI excluding Medical and hospital services,Australia,A2332551A
All groups CPI excluding food and energy,Australia,A3604378X
All groups CPI excluding 'volatile items',Australia,A2330841L
